entry_id,proficiency,skill_area,content,analysis.total_words,analysis.unique_words,analysis.lexical_density,analysis.avg_word_length,analysis.sentence_count,classification.main_category,classification.skill_focus,classification.complexity,metadata.created_at,metadata.language,metadata.version,metadata.source
A1_001,A1,introducing yourself,Hello! My name is Anna. I am 25 years old. I am from Italy. I like to read books and watch movies. I have a cat named Luna. Nice to meet you!,32,27,0.84375,3.4375,7,basic,speaking,0.0,2025-05-05 10:47:28,English,3.0,GPT-3.5-turbo
A1_002,A1,asking directions,"When you are lost, you can ask someone for directions. You can say, ""Excuse me, where is the library?"" The person will tell you where to go. You can say, ""Thank you"" when they help you. It is good to ask for help when you need it.",47,30,0.6382978723404256,3.9148936170212765,5,basic,writing,0.0,2025-05-05 10:47:29,English,3.0,GPT-3.5-turbo
A1_003,A1,making appointments,"To make an appointment, call the doctor's office. Ask for a date and time. Write it down on your calendar. Remember to arrive on time. If you can't make it, call to cancel. Make sure to be polite. That's how you make appointments.",43,33,0.7674418604651163,4.372093023255814,7,basic,reading,0.0,2025-05-05 10:47:32,English,3.0,GPT-3.5-turbo
A1_004,A1,phone calls,I call my friend on the phone. I say hello. My friend says hello back. We talk about our day. I ask how they are. They tell me they are good. I am happy to hear that. We say goodbye and hang up.,43,34,0.7906976744186046,3.5348837209302326,8,basic,listening,0.0,2025-05-05 10:47:33,English,3.0,GPT-3.5-turbo
A1_005,A1,ordering food,"When you are hungry, you can order food. You can call a restaurant or go online. Look at the menu and choose what you want. Tell them your address and pay. Wait for the food to arrive. Enjoy your meal!",40,33,0.825,4.05,6,basic,speaking,0.0,2025-05-05 10:47:35,English,3.0,GPT-3.5-turbo
A1_006,A1,shopping conversations,"When shopping, people talk about prices and sizes. They ask for help and say ""thank you"". They might say ""I like this"" or ""I don't like that"". They also ask where things are in the store. It's important to be polite and friendly during shopping conversations.",46,38,0.8260869565217391,4.6521739130434785,5,basic,writing,0.0,2025-05-05 10:47:39,English,3.0,GPT-3.5-turbo
A1_007,A1,storytelling,People tell stories. Stories are fun. They can be about anything. Sometimes stories are true. Sometimes stories are not true. People like to listen to stories. People like to tell stories. Stories can make people happy. Stories can make people sad. Stories can teach people things. Stories are important.,49,23,0.46938775510204084,5.224489795918367,11,creative,reading,0.0,2025-05-05 10:47:40,English,3.0,GPT-3.5-turbo
A1_008,A1,describing pictures,"In this picture, there is a big yellow sun in the sky. There are two birds flying. The birds are black. There is a green tree on the grass. The grass is very green. It is a beautiful day.",39,26,0.6666666666666666,3.8205128205128207,6,creative,listening,0.0,2025-05-05 10:47:42,English,3.0,GPT-3.5-turbo
A1_009,A1,expressing emotions,People show emotions in many ways. They smile when happy. They cry when sad. Some people shout when angry. Others hug when they love someone. It is important to express emotions to feel better.,34,26,0.7647058823529411,4.705882352941177,6,creative,speaking,0.0,2025-05-05 10:47:44,English,3.0,GPT-3.5-turbo
A1_010,A1,giving opinions,I like ice cream. It is delicious. My friend also likes ice cream. We think it is the best dessert. What do you think about ice cream? Do you like it too?,32,22,0.6875,3.84375,6,creative,writing,0.0,2025-05-05 10:47:46,English,3.0,GPT-3.5-turbo
A1_011,A1,making comparisons,"I like to compare things. I look at two things and see which one is bigger or smaller. I also see which one is faster or slower. Comparing helps me understand things better. I can say ""This is bigger than that"" or ""This is faster than that."" Comparing is fun!",50,32,0.64,4.2,6,creative,reading,0.0,2025-05-05 10:47:48,English,3.0,GPT-3.5-turbo
A1_012,A1,creative writing,"Creative writing is when you write stories or poems. You can use your imagination and write about anything you want. You can write about animals, friends, or even make-believe worlds. It is fun to be creative and write your own stories.",41,28,0.6829268292682927,4.780487804878049,4,creative,listening,0.0,2025-05-05 10:47:51,English,3.0,GPT-3.5-turbo
